5,117.1328,117.1328,117.1328
6,108.1964,108.1964,108.1964
15,336.1356,336.1356,336.1356
17,319.7129,319.7129,319.7129
10,242.7822,242.7822,242.7822
18,388.9196,388.9196,388.9196
15,307.4827,307.4827,307.4827
10,265.5234,265.5234,265.5234
6,163.6032,163.6032,163.6032
17,372.5204,372.5204,372.5204
19,410.6594,410.6594,410.6594
12,256.2524,256.2524,256.2524
20,419.9241,419.9241,419.9241
18,438.1884,438.1884,438.1884
12,281.9275,281.9275,281.9275
17,343.1429,343.1429,343.1429
11,269.9411,269.9411,269.9411
9,209.7899,209.7899,209.7899
10,223.5978,223.5978,223.5978
16,317.1238,317.1238,317.1238
13,304.3056,304.3056,304.3056
7,110.4286,110.4286,110.4286
6,179.4708,179.4708,179.4708
21,471.2515,471.2515,471.2515
19,397.5622,397.5622,397.5622
6,91.8161,91.8161,91.8161
13,313.0397,313.0397,313.0397
18,356.4666,356.4666,356.4666
7,159.8143,159.8143,159.8143
14,275.3901,275.3901,275.3901
13,278.5131,278.5131,278.5131
8,205.2033,205.2033,205.2033
19,405.1118,405.1118,405.1118
16,341.9073,341.9073,341.9073
11,216.3676,216.3676,216.3676
6,105.6707,105.6707,105.6707
14,331.7365,331.7365,331.7365
16,302.7326,302.7326,302.7326
15,298.871,298.871,298.871
12,242.3798,242.3798,242.3798
13,275.8762,275.8762,275.8762
21,441.3583,441.3583,441.3583
14,303.332,303.332,303.332
18,387.8841,387.8841,387.8841
20,419.7901,419.7901,419.7901
21,414.1773,414.1773,414.1773
11,295.4688,295.4688,295.4688
6,123.4025,123.4025,123.4025
16,343.7215,343.7215,343.7215
10,203.4547,203.4547,203.4547
14,288.6747,288.6747,288.6747
20,452.9412,452.9412,452.9412
21,408.9834,408.9834,408.9834
10,246.9245,246.9245,246.9245
15,292.9236,292.9236,292.9236
5,92.56506,92.56506,92.56506
20,448.0276,448.0276,448.0276
17,359.6858,359.6858,359.6858
19,340.7262,340.7262,340.7262
18,384.5764,384.5764,384.5764
16,409.9079,409.9079,409.9079
17,377.2904,377.2904,377.2904
11,261.3161,261.3161,261.3161
7,140.5159,140.5159,140.5159
10,198.4991,198.4991,198.4991
13,288.8237,288.8237,288.8237
10,212.7723,212.7723,212.7723
19,414.7647,414.7647,414.7647
7,186.7352,186.7352,186.7352
10,298.3948,298.3948,298.3948
7,145.6696,145.6696,145.6696
